case_id,product_id,reviewer,relevance_0_3,notes
I003,15301440,,,
I003,17592960,,,
I003,18737980,,,
I003,14773264,,,
I003,17405456,,,
I003,18488444,,,
I003,17347938,,,
I003,18939886,,,
I003,15424186,,,
I003,17537810,,,
I003,13464094,,,
I003,18413468,,,
I003,19072768,,,
I003,14136116,,,
I003,18583408,,,
I003,18939878,,,
I003,19044530,,,
I003,17012370,,,
I003,19266960,,,
I003,18676276,,,
I003,18866648,,,
I003,18839884,,,
I003,14087576,,,
I003,17084036,,,
I003,19020872,,,
I003,16814706,,,
I003,1583367,,,
I003,10494132,,,
I003,11607282,,,
I003,17970658,,,
I003,19297170,,,
I003,13623002,,,
I003,14864068,,,
I003,15878014,,,
I003,15185442,,,
I003,18503936,,,
I003,17367528,,,
I003,19260448,,,
I003,18690088,,,
I003,2380261,,,
I003,16549154,,,
I003,18731784,,,
I003,14913618,,,
I003,13668984,,,
I003,13724248,,,
I003,18904482,,,
I003,18068630,,,
I003,18923930,,,
I003,12222036,,,
I003,19289752,,,
I003,18805450,,,
I003,17442778,,,
I003,13842596,,,
I003,16898664,,,
I003,18923932,,,
I003,18776136,,,
I003,19186654,,,
I003,8330207,,,
I003,17808610,,,
I003,12383500,,,
I006,15301440,,,
I006,17592960,,,
I006,18737980,,,
I006,14773264,,,
I006,17405456,,,
I006,18488444,,,
I006,17347938,,,
I006,18939886,,,
I006,15424186,,,
I006,17537810,,,
I006,13464094,,,
I006,18413468,,,
I006,19072768,,,
I006,14136116,,,
I006,18583408,,,
I006,18939878,,,
I006,19044530,,,
I006,17012370,,,
I006,19266960,,,
I006,18676276,,,
I006,18866648,,,
I006,18839884,,,
I006,14087576,,,
I006,17084036,,,
I006,19020872,,,
I006,16814706,,,
I006,1583367,,,
I006,10494132,,,
I006,11607282,,,
I006,17970658,,,
I006,19297170,,,
I006,13623002,,,
I006,14864068,,,
I006,15878014,,,
I006,15185442,,,
I006,18503936,,,
I006,17367528,,,
I006,19260448,,,
I006,18690088,,,
I006,2380261,,,
I006,16549154,,,
I006,18731784,,,
I006,14913618,,,
I006,13668984,,,
I006,13724248,,,
I006,18904482,,,
I006,18068630,,,
I006,18923930,,,
I006,12222036,,,
I006,19289752,,,
I006,18805450,,,
I006,17442778,,,
I006,13842596,,,
I006,16898664,,,
I006,18923932,,,
I006,18776136,,,
I006,19186654,,,
I006,8330207,,,
I006,17808610,,,
I006,12383500,,,
I009,13843262,,,
I009,18334966,,,
I009,15162544,,,
I009,15444848,,,
I009,18939946,,,
I009,9430115,,,
I009,12396502,,,
I009,17066000,,,
I009,16846530,,,
I009,13571994,,,
I009,17074032,,,
I009,13287888,,,
I009,19254138,,,
I009,17645532,,,
I009,19340596,,,
I009,17049154,,,
I009,13370322,,,
I009,13515064,,,
I009,18318476,,,
I009,12806384,,,
I012,19300544,,,
I012,18936932,,,
I012,18724974,,,
I012,13258036,,,
I012,15850386,,,
I012,18866850,,,
I012,12964214,,,
I012,15980858,,,
I012,18468196,,,
I012,19292568,,,
I012,18517732,,,
I012,14572248,,,
I012,12785024,,,
I012,18783740,,,
I012,19043892,,,
I012,18805426,,,
I012,19151188,,,
I012,19202098,,,
I012,13843084,,,
I012,16107424,,,
I012,17188064,,,
I012,13334168,,,
I012,19300540,,,
I012,19300542,,,
I012,19043910,,,
I012,16590222,,,
I012,16173216,,,
I012,2137522,,,
I012,12257160,,,
I012,17132226,,,
I012,19340622,,,
I012,18259368,,,
I012,18413450,,,
I012,18764656,,,
I012,17982318,,,
I015,16835448,,,
I015,15911838,,,
I015,15633286,,,
I015,10365227,,,
I015,9440729,,,
I015,15457822,,,
I015,18636540,,,
I015,17570416,,,
I015,16892568,,,
I015,16835096,,,
I015,15834022,,,
I015,16911488,,,
I015,11598054,,,
I015,18689374,,,
I015,18472310,,,
I015,19298212,,,
I015,12726810,,,
I015,16728358,,,
I015,18145118,,,
I018,8670529,,,
I018,14954878,,,
I018,17005816,,,
I018,19178164,,,
I021,16644538,,,
I021,16465458,,,
I021,18549292,,,
I021,16885654,,,
I021,15725832,,,
I021,14705118,,,
I024,19314076,,,
I024,18330056,,,
I024,16709020,,,
I027,16902156,,,
I027,16045618,,,
I027,16960434,,,
I030,16902156,,,
I030,16045618,,,
I030,16960434,,,
